Sentences,Number,Condition,Whose
The soldier wanted to fight the Trojan...,1,V1N1,Ours
The soldier wanted to fight the Trojan War...,1,V1N1N2,Ours
The soldier wanted to serve in the Trojan...,1,V2N1,Ours
The soldier wanted to serve in the Trojan War...,1,V2N1N2,Ours
While I was looking towards the rearview...,2,V1N1,Ours
While I was looking towards the rearview mirror...,2,V1N1N2,Ours
While I was looking at my reflection in the rearview...,2,V2N1,Ours
While I was looking at my reflection in the rearview mirror...,2,V2N1N2,Ours
The hardest part about driving my car is the steering...,3,V1N1,Ours
The hardest part about driving my car is the steering wheel...,3,V1N1N2,Ours
The hardest part about painting my car is the steering...,3,V2N1,Ours
The hardest part about painting my car is the steering wheel...,3,V2N1N2,Ours
Kimmy panicked when she realized that she left the books in the locker...,4,V1N1,Ours
Kimmy panicked when she realized that she left the books in the locker room...,4,V1N1N2,Ours
Kimmy panicked when she realized that she left the faucet running in the locker...,4,V2N1,Ours
Kimmy panicked when she realized that she left the faucet running in the locker room...,4,V2N1N2,Ours
The mechanic mentioned that he thought there might be something wrong with his rotator...,5,V1N1,Ours
The mechanic mentioned that he thought there might be something wrong with his rotator cuff...,5,V1N1N2,Ours
The mechanic mentioned that he thought there might be an infection in his rotator...,5,V2N1,Ours
The mechanic mentioned that he thought there might be an infection in his rotator cuff...,5,V2N1N2,Ours
When I was a kid I hated dining...,6,V1N1,Ours
When I was a kid I hated dining rooms...,6,V1N1N2,Ours
When I was a kid I hated the color of dining...,6,V2N1,Ours
When I was a kid I hated the color of dining rooms...,6,V2N1N2,Ours
Jimmy picked up the peanut...,7,V1N1,Ours
Jimmy picked up the peanut butter...,7,V1N1N2,Ours
Jimmy spread out the peanut...,7,V2N1,Ours
Jimmy spread out the peanut butter...,7,V2N1N2,Ours
Jamie shredded the mailing...,8,V1N1,Ours
Jamie shredded the mailing list...,8,V1N1N2,Ours
Jamie emailed the mailing...,8,V2N1,Ours
Jamie emailed the mailing list...,8,V2N1N2,Ours
I read an article about the insider...,9,V1N1,Ours
I read an article about the insider trading...,9,V1N1N2,Ours
I read that John was arrested for insider...,9,V2N1,Ours
I read that John was arrested for insider trading...,9,V2N1N2,Ours
I went to highschool with the most argumentative person I've ever met who loved dissenting...,10,V1N1,Ours
I went to highschool with the most argumentative person I've ever met who loved dissenting opinions...,10,V1N1N2,Ours
I went to highschool with the most argumentative person I've ever met who loved hearing dissenting...,10,V2N1,Ours
I went to highschool with the most argumentative person I've ever met who loved hearing dissenting opinions...,10,V2N1N2,Ours
Timothy was confused when he saw the lump...,11,V1N1,Ours
Timothy was confused when he saw the lump sum...,11,V1N1N2,Ours
Timothy was confused when he counted the lump...,11,V2N1,Ours
Timothy was confused when he counted the lump sum...,11,V2N1N2,Ours
The manager found the dairy...,12,V1N1,Ours
The manager found the dairy products...,12,V1N1N2,Ours
The manager logged the dairy...,12,V2N1,Ours
The manager logged the dairy products...,12,V2N1N2,Ours
The social worker visits alcoholics...,13,V1N1,Ours
The social worker visits alcoholics anonymous...,13,V1N1N2,Ours
The social worker founded alcoholics...,13,V2N1,Ours
The social worker founded alcoholics anonymous...,13,V2N1N2,Ours
The large company relies on its purchasing...,14,V1N1,Ours
The large company relies on its purchasing power...,14,V1N1N2,Ours
The large company has purchasing...,14,V2N1,Ours
The large company has purchasing power...,14,V2N1N2,Ours
Sam dreaded the expiration...,15,V1N1,Ours
Sam dreaded the expiration date...,15,V1N1N2,Ours
Sam read the expiration...,15,V2N1,Ours
Sam read the expiration date...,15,V2N1N2,Ours
Timothy absolutely loves talking about baking...,16,V1N1,Ours
Timothy absolutely loves talking about baking sheets...,16,V1N1N2,Ours
Timothy absolutely loves buying baking...,16,V2N1,Ours
Timothy absolutely loves buying baking sheets...,16,V2N1N2,Ours
Mike couldn't decide which aspect of his peer...,17,V1N1,Ours
Mike couldn't decide which aspect of his peer group...,17,V1N1N2,Ours
Mike couldn't decide which member of his peer...,17,V2N1,Ours
Mike couldn't decide which member of his peer group...,17,V2N1N2,Ours
My mom loves baking...,18,V1N1,Ours
My mom loves baking dishes...,18,V1N1N2,Ours
My mom received baking...,18,V2N1,Ours
My mom received baking dishes...,18,V2N1N2,Ours
One of my favorite feelings is when I eat ice...,19,V1N1,Ours
One of my favorite feelings is when I eat ice cream...,19,V1N1N2,Ours
One of my favorite feelings is when I smell ice...,19,V2N1,Ours
One of my favorite feelings is when I smell ice cream...,19,V2N1N2,Ours
"Despite the storm, the winter advisory...",20,V1N1,Ours
"Despite the storm, the winter advisory committee...",20,V1N1N2,Ours
"Despite the storm, the experienced advisory...",20,V2N1,Ours
"Despite the storm, the experienced advisory committee...",20,V2N1N2,Ours
I was surprised when I saw the high roller...,21,V1N1,Ours
I was surprised when I saw the high roller coaster...,21,V1N1N2,Ours
I was surprised when I rode the high roller...,21,V2N1,Ours
I was surprised when I rode the high roller coaster...,21,V2N1N2,Ours
I was really worried after I read about the wastewater...,22,V1N1,Ours
I was really worried after I read about the wastewater treatment...,22,V1N1N2,Ours
I was really worried after I administered the wastewater...,22,V2N1,Ours
I was really worried after I administered the wastewater treatment...,22,V2N1N2,Ours
"Due to her difficulty of breathing, Jamie was really worried about her lung...",23,V1N1,Ours
"Due to her difficulty of breathing, Jamie was really worried about her lung cancer...",23,V1N1N2,Ours
"Due to her difficulty of breathing, Jamie was really worried about having lung...",23,V2N1,Ours
"Due to her difficulty of breathing, Jamie was really worried about having lung cancer...",23,V2N1N2,Ours
Sally said she found that new graduate...,24,V1N1,Ours
Sally said she found that new graduate school...,24,V1N1N2,Ours
Sally said she is attending that new graduate...,24,V2N1,Ours
Sally said she is attending that new graduate school...,24,V2N1N2,Ours
"When I was a kid, despite my mom's disapproval I really wanted to buy a snack...",25,V1N1,Ours
"When I was a kid, despite my mom's disapproval I really wanted to buy a snack bar...",25,V1N1N2,Ours
"When I was a kid, despite my mom's disapproval I really wanted to go to a snack...",25,V2N1,Ours
"When I was a kid, despite my mom's disapproval I really wanted to go to a snack bar...",25,V2N1N2,Ours
Norwich was once rich due to a rare textile...,26,V1N1,Ours
Norwich was once rich due to a rare textile industry...,26,V1N1N2,Ours
Norwich was once rich thanks to the textile...,26,V2N1,Ours
Norwich was once rich thanks to the textile industry...,26,V2N1N2,Ours
